date,claim_id,claim_text,claim_type,section,reason,source,matched_evidence_count,available_trace_keys,support_type,trace_support_type,error_type
2023-10-26,claim_0033,涉及气体为 无。,unknown,,E11_HEADING_FALSE_POSITIVE,quality.claim_results,0,claim_id;claim_text;claim_type;error_type;grounded;messages;severity;source_trace;suggestions;support_type;supporting_evidence_ids;trace_support_type,none,none,E11_HEADING_FALSE_POSITIVE
2023-10-27,claim_0033,涉及气体为 无。,unknown,,E11_HEADING_FALSE_POSITIVE,quality.claim_results,0,claim_id;claim_text;claim_type;error_type;grounded;messages;severity;source_trace;suggestions;support_type;supporting_evidence_ids;trace_support_type,none,none,E11_HEADING_FALSE_POSITIVE
2023-10-28,claim_0039,涉及气体为 无。,unknown,,E11_HEADING_FALSE_POSITIVE,quality.claim_results,0,claim_id;claim_text;claim_type;error_type;grounded;messages;severity;source_trace;suggestions;support_type;supporting_evidence_ids;trace_support_type,none,none,E11_HEADING_FALSE_POSITIVE
2023-10-29,claim_0033,涉及气体为 无。,unknown,,E11_HEADING_FALSE_POSITIVE,quality.claim_results,0,claim_id;claim_text;claim_type;error_type;grounded;messages;severity;source_trace;suggestions;support_type;supporting_evidence_ids;trace_support_type,none,none,E11_HEADING_FALSE_POSITIVE
2023-10-30,claim_0033,涉及气体为 无。,unknown,,E11_HEADING_FALSE_POSITIVE,quality.claim_results,0,claim_id;claim_text;claim_type;error_type;grounded;messages;severity;source_trace;suggestions;support_type;supporting_evidence_ids;trace_support_type,none,none,E11_HEADING_FALSE_POSITIVE
2023-10-31,claim_0036,涉及气体为 无。,unknown,,E11_HEADING_FALSE_POSITIVE,quality.claim_results,0,claim_id;claim_text;claim_type;error_type;grounded;messages;severity;source_trace;suggestions;support_type;supporting_evidence_ids;trace_support_type,none,none,E11_HEADING_FALSE_POSITIVE
2023-11-01,claim_0033,涉及气体为 无。,unknown,,E11_HEADING_FALSE_POSITIVE,quality.claim_results,0,claim_id;claim_text;claim_type;error_type;grounded;messages;severity;source_trace;suggestions;support_type;supporting_evidence_ids;trace_support_type,none,none,E11_HEADING_FALSE_POSITIVE
2023-11-02,claim_0033,涉及气体为 无。,unknown,,E11_HEADING_FALSE_POSITIVE,quality.claim_results,0,claim_id;claim_text;claim_type;error_type;grounded;messages;severity;source_trace;suggestions;support_type;supporting_evidence_ids;trace_support_type,none,none,E11_HEADING_FALSE_POSITIVE
2023-11-03,claim_0033,涉及气体为 无。,unknown,,E11_HEADING_FALSE_POSITIVE,quality.claim_results,0,claim_id;claim_text;claim_type;error_type;grounded;messages;severity;source_trace;suggestions;support_type;supporting_evidence_ids;trace_support_type,none,none,E11_HEADING_FALSE_POSITIVE
2023-11-04,claim_0033,涉及气体为 无。,unknown,,E11_HEADING_FALSE_POSITIVE,quality.claim_results,0,claim_id;claim_text;claim_type;error_type;grounded;messages;severity;source_trace;suggestions;support_type;supporting_evidence_ids;trace_support_type,none,none,E11_HEADING_FALSE_POSITIVE
2023-11-05,claim_0036,涉及气体为 无。,unknown,,E11_HEADING_FALSE_POSITIVE,quality.claim_results,0,claim_id;claim_text;claim_type;error_type;grounded;messages;severity;source_trace;suggestions;support_type;supporting_evidence_ids;trace_support_type,none,none,E11_HEADING_FALSE_POSITIVE
2023-11-06,claim_0036,涉及气体为 无。,unknown,,E11_HEADING_FALSE_POSITIVE,quality.claim_results,0,claim_id;claim_text;claim_type;error_type;grounded;messages;severity;source_trace;suggestions;support_type;supporting_evidence_ids;trace_support_type,none,none,E11_HEADING_FALSE_POSITIVE
2023-11-09,claim_0033,涉及气体为 无。,unknown,,E11_HEADING_FALSE_POSITIVE,quality.claim_results,0,claim_id;claim_text;claim_type;error_type;grounded;messages;severity;source_trace;suggestions;support_type;supporting_evidence_ids;trace_support_type,none,none,E11_HEADING_FALSE_POSITIVE
2023-11-10,claim_0036,涉及气体为 无。,unknown,,E11_HEADING_FALSE_POSITIVE,quality.claim_results,0,claim_id;claim_text;claim_type;error_type;grounded;messages;severity;source_trace;suggestions;support_type;supporting_evidence_ids;trace_support_type,none,none,E11_HEADING_FALSE_POSITIVE
2023-11-11,claim_0033,涉及气体为 无。,unknown,,E11_HEADING_FALSE_POSITIVE,quality.claim_results,0,claim_id;claim_text;claim_type;error_type;grounded;messages;severity;source_trace;suggestions;support_type;supporting_evidence_ids;trace_support_type,none,none,E11_HEADING_FALSE_POSITIVE
2023-11-12,claim_0036,涉及气体为 无。,unknown,,E11_HEADING_FALSE_POSITIVE,quality.claim_results,0,claim_id;claim_text;claim_type;error_type;grounded;messages;severity;source_trace;suggestions;support_type;supporting_evidence_ids;trace_support_type,none,none,E11_HEADING_FALSE_POSITIVE
2023-11-13,claim_0036,涉及气体为 无。,unknown,,E11_HEADING_FALSE_POSITIVE,quality.claim_results,0,claim_id;claim_text;claim_type;error_type;grounded;messages;severity;source_trace;suggestions;support_type;supporting_evidence_ids;trace_support_type,none,none,E11_HEADING_FALSE_POSITIVE
2023-11-14,claim_0033,涉及气体为 无。,unknown,,E11_HEADING_FALSE_POSITIVE,quality.claim_results,0,claim_id;claim_text;claim_type;error_type;grounded;messages;severity;source_trace;suggestions;support_type;supporting_evidence_ids;trace_support_type,none,none,E11_HEADING_FALSE_POSITIVE
2023-11-15,claim_0031,涉及气体为 无。,unknown,,E11_HEADING_FALSE_POSITIVE,quality.claim_results,0,claim_id;claim_text;claim_type;error_type;grounded;messages;severity;source_trace;suggestions;support_type;supporting_evidence_ids;trace_support_type,none,none,E11_HEADING_FALSE_POSITIVE
2023-11-16,claim_0036,涉及气体为 无。,unknown,,E11_HEADING_FALSE_POSITIVE,quality.claim_results,0,claim_id;claim_text;claim_type;error_type;grounded;messages;severity;source_trace;suggestions;support_type;supporting_evidence_ids;trace_support_type,none,none,E11_HEADING_FALSE_POSITIVE
2023-11-17,claim_0036,涉及气体为 无。,unknown,,E11_HEADING_FALSE_POSITIVE,quality.claim_results,0,claim_id;claim_text;claim_type;error_type;grounded;messages;severity;source_trace;suggestions;support_type;supporting_evidence_ids;trace_support_type,none,none,E11_HEADING_FALSE_POSITIVE
2023-11-18,claim_0039,涉及气体为 无。,unknown,,E11_HEADING_FALSE_POSITIVE,quality.claim_results,0,claim_id;claim_text;claim_type;error_type;grounded;messages;severity;source_trace;suggestions;support_type;supporting_evidence_ids;trace_support_type,none,none,E11_HEADING_FALSE_POSITIVE
2023-11-19,claim_0039,涉及气体为 无。,unknown,,E11_HEADING_FALSE_POSITIVE,quality.claim_results,0,claim_id;claim_text;claim_type;error_type;grounded;messages;severity;source_trace;suggestions;support_type;supporting_evidence_ids;trace_support_type,none,none,E11_HEADING_FALSE_POSITIVE
2023-11-20,claim_0036,涉及气体为 无。,unknown,,E11_HEADING_FALSE_POSITIVE,quality.claim_results,0,claim_id;claim_text;claim_type;error_type;grounded;messages;severity;source_trace;suggestions;support_type;supporting_evidence_ids;trace_support_type,none,none,E11_HEADING_FALSE_POSITIVE
2023-11-21,claim_0039,涉及气体为 无。,unknown,,E11_HEADING_FALSE_POSITIVE,quality.claim_results,0,claim_id;claim_text;claim_type;error_type;grounded;messages;severity;source_trace;suggestions;support_type;supporting_evidence_ids;trace_support_type,none,none,E11_HEADING_FALSE_POSITIVE
2023-11-22,claim_0036,涉及气体为 无。,unknown,,E11_HEADING_FALSE_POSITIVE,quality.claim_results,0,claim_id;claim_text;claim_type;error_type;grounded;messages;severity;source_trace;suggestions;support_type;supporting_evidence_ids;trace_support_type,none,none,E11_HEADING_FALSE_POSITIVE
2023-11-26,claim_0033,涉及气体为 无。,unknown,,E11_HEADING_FALSE_POSITIVE,quality.claim_results,0,claim_id;claim_text;claim_type;error_type;grounded;messages;severity;source_trace;suggestions;support_type;supporting_evidence_ids;trace_support_type,none,none,E11_HEADING_FALSE_POSITIVE
2023-11-27,claim_0033,涉及气体为 无。,unknown,,E11_HEADING_FALSE_POSITIVE,quality.claim_results,0,claim_id;claim_text;claim_type;error_type;grounded;messages;severity;source_trace;suggestions;support_type;supporting_evidence_ids;trace_support_type,none,none,E11_HEADING_FALSE_POSITIVE
2023-11-28,claim_0042,涉及气体为 无。,unknown,,E11_HEADING_FALSE_POSITIVE,quality.claim_results,0,claim_id;claim_text;claim_type;error_type;grounded;messages;severity;source_trace;suggestions;support_type;supporting_evidence_ids;trace_support_type,none,none,E11_HEADING_FALSE_POSITIVE
2023-11-29,claim_0036,涉及气体为 无。,unknown,,E11_HEADING_FALSE_POSITIVE,quality.claim_results,0,claim_id;claim_text;claim_type;error_type;grounded;messages;severity;source_trace;suggestions;support_type;supporting_evidence_ids;trace_support_type,none,none,E11_HEADING_FALSE_POSITIVE
2023-12-16,claim_0033,涉及气体为 无。,unknown,,E11_HEADING_FALSE_POSITIVE,quality.claim_results,0,claim_id;claim_text;claim_type;error_type;grounded;messages;severity;source_trace;suggestions;support_type;supporting_evidence_ids;trace_support_type,none,none,E11_HEADING_FALSE_POSITIVE
2023-12-17,claim_0033,涉及气体为 无。,unknown,,E11_HEADING_FALSE_POSITIVE,quality.claim_results,0,claim_id;claim_text;claim_type;error_type;grounded;messages;severity;source_trace;suggestions;support_type;supporting_evidence_ids;trace_support_type,none,none,E11_HEADING_FALSE_POSITIVE
