sample_id,date,mode,mode_short,sample_group,claim_id,claim_text,claim_type,claim_role,entity,value,unit,support_status,support_type,trace_support_type,mismatch_type,error_type,confidence,checker_reason,supporting_evidence_ids,aligned_evidence_ids,boundary_violation_count,mode_quality_score,mode_grounding_rate,mode_unsupported_count,mode_numeric_count,report_path,quality_summary_path,trace_summary_path,boundary_summary_path,human_is_checker_correct,human_correct_label,human_comment
S011,2023-12-20,M4_full_twin_governance_trace_boundary_reviser,M4,unsupported_or_mismatch,claim_0028,掌子面附近（10m对齐复核单元DK1014+480～DK1014+490）主要地质关注为明显反射异常、围岩破碎、裂隙发育，需结合现场揭示进行核查。,geology_cell,general_report_claim,围岩破碎,10.0,m,unsupported,none,none,scope_mismatch,E1_UNSUPPORTED_CLAIM,0.0,未找到与该 DK 区段对应的 key_cell。,,,0,100,0.9,5,1,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-12-20\M4_full_twin_governance_trace_boundary_reviser\report.md,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-12-20\M4_full_twin_governance_trace_boundary_reviser\quality_summary.json,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-12-20\M4_full_twin_governance_trace_boundary_reviser\trace_summary.json,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-12-20\M4_full_twin_governance_trace_boundary_reviser\boundary_summary.json,,,
S012,2023-12-17,M4_full_twin_governance_trace_boundary_reviser,M4,unsupported_or_mismatch,claim_0038,当日数值存在波动，无超限事件。,unknown,general_report_claim,,,,unsupported,none,none,overclaim,E11_HEADING_FALSE_POSITIVE,0.0,,,,0,100,0.8409,7,0,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-12-17\M4_full_twin_governance_trace_boundary_reviser\report.md,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-12-17\M4_full_twin_governance_trace_boundary_reviser\quality_summary.json,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-12-17\M4_full_twin_governance_trace_boundary_reviser\trace_summary.json,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-12-17\M4_full_twin_governance_trace_boundary_reviser\boundary_summary.json,,,
S013,2023-11-21,M1_direct_llm,M1,numeric_error,claim_0045,*   **数据基础：** 该区段共包含 8 个分析单元，用于建立地质-施工响应的背景参考。,unknown,general_report_claim,,8.0,,unsupported,none,none,overclaim,E10_NUMERIC_VALUE_UNGROUNDED,0.0,,,,1,69,0.7347,13,5,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-11-21\M1_direct_llm\report.md,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-11-21\M1_direct_llm\quality_summary.json,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-11-21\M1_direct_llm\trace_summary.json,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-11-21\M1_direct_llm\boundary_summary.json,,,
S014,2023-12-12,M1_direct_llm,M1,numeric_error,claim_0026,本日共采集 4097 条数据，时间序列连续且单调递增，里程数据无负步长或大幅跳变。,unknown,general_report_claim,,4097.0,,unsupported,none,none,overclaim,E10_NUMERIC_VALUE_UNGROUNDED,0.0,,,,0,69,0.7021,14,5,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-12-12\M1_direct_llm\report.md,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-12-12\M1_direct_llm\quality_summary.json,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-12-12\M1_direct_llm\trace_summary.json,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-12-12\M1_direct_llm\boundary_summary.json,,,
S015,2023-10-02,M2_raw_evidence_llm,M2,numeric_error,claim_0003,**日期：** 2023年10月02日,unknown,general_report_claim,,2023.0,,unsupported,none,none,overclaim,E10_NUMERIC_VALUE_UNGROUNDED,0.0,,,,0,74,0.6515,23,7,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-10-02\M2_raw_evidence_llm\report.md,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-10-02\M2_raw_evidence_llm\quality_summary.json,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-10-02\M2_raw_evidence_llm\trace_summary.json,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-10-02\M2_raw_evidence_llm\boundary_summary.json,,,
S016,2023-12-22,M2_raw_evidence_llm,M2,numeric_error,claim_0036,*   检测值范围：180.34 ~ 180.71（单位需结合原始数据字典确认，疑似为%或报警量）。,unknown,general_report_claim,,180.34,,unsupported,none,none,numeric_or_metric_mismatch,E10_NUMERIC_VALUE_UNGROUNDED,0.0,,,,1,74,0.6406,23,10,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-12-22\M2_raw_evidence_llm\report.md,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-12-22\M2_raw_evidence_llm\quality_summary.json,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-12-22\M2_raw_evidence_llm\trace_summary.json,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-12-22\M2_raw_evidence_llm\boundary_summary.json,,,
S017,2023-09-22,M3_twin_evidence_pack_llm,M3,numeric_error,claim_0029,该气体已触发超限事件，超限时段覆盖了当日大部分时间（从 10:07:00 至 23:59:40）。,unknown,general_report_claim,,10.0,,unsupported,none,none,overclaim,E10_NUMERIC_VALUE_UNGROUNDED,0.0,,,,0,79,0.8154,12,1,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-09-22\M3_twin_evidence_pack_llm\report.md,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-09-22\M3_twin_evidence_pack_llm\quality_summary.json,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-09-22\M3_twin_evidence_pack_llm\trace_summary.json,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-09-22\M3_twin_evidence_pack_llm\boundary_summary.json,,,
S018,2023-12-18,M3_twin_evidence_pack_llm,M3,numeric_error,claim_0064,*   **20-30米 (DK1014+468 ~ DK1014+478):**,unknown,general_report_claim,,20.0,,unsupported,none,none,scope_mismatch,E10_NUMERIC_VALUE_UNGROUNDED,0.0,,,,0,69,0.7424,17,5,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-12-18\M3_twin_evidence_pack_llm\report.md,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-12-18\M3_twin_evidence_pack_llm\quality_summary.json,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-12-18\M3_twin_evidence_pack_llm\trace_summary.json,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-12-18\M3_twin_evidence_pack_llm\boundary_summary.json,,,
S019,2023-11-04,M4_full_twin_governance_trace_boundary_reviser,M4,numeric_error,claim_0026,当日 PLC 数据经聚类分析识别出 3 种施工状态，聚类质量稳定：,unknown,general_report_claim,PLC,3.0,,unsupported,none,none,overclaim,E10_NUMERIC_VALUE_UNGROUNDED,0.0,,,,0,95,0.9423,3,2,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-11-04\M4_full_twin_governance_trace_boundary_reviser\report.md,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-11-04\M4_full_twin_governance_trace_boundary_reviser\quality_summary.json,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-11-04\M4_full_twin_governance_trace_boundary_reviser\trace_summary.json,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-11-04\M4_full_twin_governance_trace_boundary_reviser\boundary_summary.json,,,
S020,2023-09-17,M4_full_twin_governance_trace_boundary_reviser,M4,numeric_error,claim_0021,当日聚类分析识别出 3 种运行状态，聚类稳定：,unknown,general_report_claim,,3.0,,unsupported,none,none,overclaim,E10_NUMERIC_VALUE_UNGROUNDED,0.0,,,,0,95,0.9773,1,1,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-09-17\M4_full_twin_governance_trace_boundary_reviser\report.md,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-09-17\M4_full_twin_governance_trace_boundary_reviser\quality_summary.json,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-09-17\M4_full_twin_governance_trace_boundary_reviser\trace_summary.json,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-09-17\M4_full_twin_governance_trace_boundary_reviser\boundary_summary.json,,,
S021,2023-10-09,M3_twin_evidence_pack_llm,M3,numeric_error,claim_0048,*   **单元 DK1013+480 ～ DK1013+490：**,unknown,general_report_claim,,1013.0,,unsupported,none,none,scope_mismatch,E10_NUMERIC_VALUE_UNGROUNDED,0.0,,,,0,54,0.7969,13,2,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-10-09\M3_twin_evidence_pack_llm\report.md,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-10-09\M3_twin_evidence_pack_llm\quality_summary.json,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-10-09\M3_twin_evidence_pack_llm\trace_summary.json,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-10-09\M3_twin_evidence_pack_llm\boundary_summary.json,,,
S022,2023-10-16,M2_raw_evidence_llm,M2,numeric_error,claim_0034,*   模式转换 (transition)：0.3%,unknown,general_report_claim,,0.3,%,unsupported,none,none,numeric_or_metric_mismatch,E10_NUMERIC_VALUE_UNGROUNDED,0.0,,,,0,64,0.5529,38,19,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-10-16\M2_raw_evidence_llm\report.md,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-10-16\M2_raw_evidence_llm\quality_summary.json,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-10-16\M2_raw_evidence_llm\trace_summary.json,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-10-16\M2_raw_evidence_llm\boundary_summary.json,,,
S023,2023-11-09,M1_direct_llm,M1,grounded_control,claim_0053,PLC 数据显示掘进过程基本稳定，仅出现一次短暂的异常扭矩事件。,operation,statistical_summary,PLC,,,supported,operation_context,statistical_support,none,,1.0,找到可支撑的结构化证据。,,,0,74,0.7,15,4,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-11-09\M1_direct_llm\report.md,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-11-09\M1_direct_llm\quality_summary.json,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-11-09\M1_direct_llm\trace_summary.json,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-11-09\M1_direct_llm\boundary_summary.json,,,
S024,2023-12-06,M2_raw_evidence_llm,M2,grounded_control,claim_0043,监测期间未触发报警事件。,unknown,general_report_claim,,,,supported,recommendation_policy,policy_support,none,,1.0,建议语句未引入未支撑强灾害词，按工程建议规则通过。,,,0,69,0.7241,16,6,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-12-06\M2_raw_evidence_llm\report.md,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-12-06\M2_raw_evidence_llm\quality_summary.json,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-12-06\M2_raw_evidence_llm\trace_summary.json,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-12-06\M2_raw_evidence_llm\boundary_summary.json,,,
S025,2023-10-14,M3_twin_evidence_pack_llm,M3,grounded_control,claim_0044,*   **主要地质关注：** 稳定性较差、掉块、围岩极破碎、裂隙密集。,unknown,general_report_claim,围岩极破碎,,,supported,key_cell,forecast_support,none,,1.0,找到可支撑的结构化证据。,DyK1013+445.00_伯舒拉岭隧道进口右线水平声波剖面法超前地质预报报告(DyK1013+445～DyK1013+545)-20231006_hsp_3;DyK1013+525.00_伯舒拉岭隧道进口右线水平声波剖面法超前地质预报报告(DyK1013+525～DyK1013+625)-20231012_hsp_0;DyK1013+525.00_伯舒拉岭隧道进口右线水平声波剖面法超前地质预报报告(DyK1013+525～DyK1013+625)-20231012_hsp_1,DyK1013+445.00_伯舒拉岭隧道进口右线水平声波剖面法超前地质预报报告(DyK1013+445～DyK1013+545)-20231006_hsp_3;DyK1013+525.00_伯舒拉岭隧道进口右线水平声波剖面法超前地质预报报告(DyK1013+525～DyK1013+625)-20231012_hsp_0;DyK1013+525.00_伯舒拉岭隧道进口右线水平声波剖面法超前地质预报报告(DyK1013+525～DyK1013+625)-20231012_hsp_1,0,79,0.8033,12,3,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-10-14\M3_twin_evidence_pack_llm\report.md,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-10-14\M3_twin_evidence_pack_llm\quality_summary.json,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-10-14\M3_twin_evidence_pack_llm\trace_summary.json,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-10-14\M3_twin_evidence_pack_llm\boundary_summary.json,,,
S026,2023-09-24,M4_full_twin_governance_trace_boundary_reviser,M4,grounded_control,claim_0054,5. 当日出现多次异常扭矩事件，虽持续时间较短，但需结合地质条件分析原因，防止因围岩软硬突变导致设备异常。,operation,statistical_summary,,,,supported,operation_context,statistical_support,none,,1.0,找到可支撑的结构化证据。,,,0,100,0.9333,3,1,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-09-24\M4_full_twin_governance_trace_boundary_reviser\report.md,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-09-24\M4_full_twin_governance_trace_boundary_reviser\quality_summary.json,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-09-24\M4_full_twin_governance_trace_boundary_reviser\trace_summary.json,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-09-24\M4_full_twin_governance_trace_boundary_reviser\boundary_summary.json,,,
S027,2023-10-02,M2_raw_evidence_llm,M2,grounded_control,claim_0031,- RAI 的主要贡献项为停机占比（stop_component）。,coupling,general_report_claim,RAI,,,supported,coupling_context,coupling_review_support,none,,1.0,找到可支撑的结构化证据。,,,0,74,0.6515,23,7,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-10-02\M2_raw_evidence_llm\report.md,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-10-02\M2_raw_evidence_llm\quality_summary.json,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-10-02\M2_raw_evidence_llm\trace_summary.json,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-10-02\M2_raw_evidence_llm\boundary_summary.json,,,
S028,2023-12-25,M1_direct_llm,M1,boundary_violation,,前方关注区段，目前无已发生,,,,,,boundary_violation,,,forward_fact_misuse,boundary:forward_fact_misuse,,,,,1,69,0.7647,8,4,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-12-25\M1_direct_llm\report.md,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-12-25\M1_direct_llm\quality_summary.json,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-12-25\M1_direct_llm\trace_summary.json,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-12-25\M1_direct_llm\boundary_summary.json,,,
S029,2023-09-24,M1_direct_llm,M1,boundary_violation,,前方关注区段，目前无已发生,,,,,,boundary_violation,,,forward_fact_misuse,boundary:forward_fact_misuse,,,,,1,74,0.8205,7,4,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-09-24\M1_direct_llm\report.md,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-09-24\M1_direct_llm\quality_summary.json,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-09-24\M1_direct_llm\trace_summary.json,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-09-24\M1_direct_llm\boundary_summary.json,,,
S030,2023-11-21,M1_direct_llm,M1,boundary_violation,,前方 30 米范围已纳入分析视野，但本报告不将其作为已发生,,,,,,boundary_violation,,,forward_fact_misuse,boundary:forward_fact_misuse,,,,,1,69,0.7347,13,5,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-11-21\M1_direct_llm\report.md,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-11-21\M1_direct_llm\quality_summary.json,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-11-21\M1_direct_llm\trace_summary.json,experiments\exp02_llm_generation_modes\outputs_real_91dates_structured_trace_v1_merged\reports\2023-11-21\M1_direct_llm\boundary_summary.json,,,
